qwen_dss1_pos,qwen_dss1_neg,qwen_dss2_pos,qwen_dss2_neg,qwen_gss1_pos,qwen_gss1_neg,qwen_gss2_pos,qwen_gss2_neg
a1.h1->m1,m0->a5.h1<k>,a2.h6->m2,a0.h1->a1.h12<k>,m7->m22,a1.h11->m2,m15->logits,m1->m19
a0.h1->m0,m3->a10.h0<v>,m0->m10,a0.h1->a1.h12<v>,a6.h3->m13,a16.h11->m23,m18->m22,m8->m23
m7->m20,m0->a6.h0<v>,m6->m15,a0.h1->a1.h13<q>,m4->m17,m3->logits,m0->m12,m1->a2.h1<k>
a6.h2->m7,m18->m22,m7->a10.h0<v>,a0.h1->a1.h13<k>,a4.h3->m5,m4->m23,m9->m15,m18->m22
m2->m5,a4.h7->m5,m0->m17,a0.h1->a1.h13<v>,m21->m22,m7->m22,m9->m12,m13->m21
a1.h8->m2,a8.h2->m9,a0.h1->m0,a0.h2->a1.h0<q>,m13->m15,m0->a1.h9<q>,m15->a16.h1<v>,m4->m13
m7->a12.h0<v>,a10.h7->m10,m0->m6,a0.h2->a1.h0<k>,a2.h0->m3,a4.h3->m5,m4->m8,m7->m22
m4->m13,a8.h13->m8,m1->m14,a0.h2->a1.h0<v>,m16->m21,a23.h4->m23,m13->m21,m6->m15
m2->m4,m19->m20,a16.h11->m20,a0.h2->a1.h1<q>,m0->a1.h9<q>,a6.h3->m13,m6->m17,m9->m12
m3->m18,m5->a6.h0<k>,a8.h7->m9,a0.h2->a1.h1<k>,m6->m19,m6->a11.h0<k>,m1->m19,m3->logits
m3->m12,m9->m12,m12->m13,a0.h2->a1.h1<v>,m0->a2.h1<k>,m5->m14,m3->logits,m9->m15
a7.h10->m7,a5.h7->m7,m11->m19,a0.h2->a1.h2<q>,m19->m23,a3.h10->m4,m10->m17,m5->a10.h1<v>
m3->m19,a4.h10->m5,m18->m19,a0.h2->a1.h2<k>,a23.h4->logits,m1->m23,m3->m23,m5->logits
a10.h7->m12,m11->m14,m2->m13,a0.h2->a1.h2<v>,m11->a12.h0<v>,m2->m16,a10.h0->m10,m12->m16
m1->a8.h0<v>,m6->a7.h1<k>,m8->a13.h1<v>,a0.h2->a1.h3<q>,m3->m20,m4->m17,m17->m18,m3->m5
m1->m11,a10.h12->logits,m4->m20,a0.h2->a1.h3<k>,a11.h1->m12,m6->m19,m9->m23,m6->m8
m2->m20,m7->m23,m21->m22,a0.h2->a1.h3<v>,m5->m14,m3->m20,a19.h13->logits,m3->m23
m6->m17,m15->m16,a4.h1->m6,a0.h2->a1.h4<q>,m15->a16.h1<v>,a6.h3->m11,m8->m20,a10.h0->m14
a7.h10->m8,a23.h10->logits,a2.h0->m3,a0.h2->a1.h4<k>,a17.h5->m18,m0->a2.h1<k>,m7->m22,m3->m18
m1->m2,m9->m11,m4->m19,a0.h2->a1.h4<v>,m0->m4,m5->m12,m14->m19,m8->m9
a4.h1->m6,a17.h10->m20,a2.h3->m5,a0.h2->a1.h5<q>,m0->a6.h0<v>,m0->m7,m6->m15,m0->m15
a1.h7->m1,m14->m18,m9->m23,a0.h2->a1.h5<k>,m3->logits,m4->a10.h0<v>,m5->m16,m7->m10
m10->m14,a10.h4->m11,a2.h3->m4,a0.h2->a1.h5<v>,m4->a10.h0<v>,m5->a10.h1<v>,m12->m16,m4->m8
m1->m8,m2->m18,m20->a23.h0<v>,a0.h2->a1.h6<q>,m17->m20,m20->m21,m15->m20,a12.h0->m13
m3->m13,a5.h10->m5,m13->m16,a0.h2->a1.h6<k>,m1->m23,m0->m22,a10.h0->m14,m14->m17
m4->m21,a9.h1->m9,a1.h5->m2,a0.h2->a1.h6<v>,a19.h13->m23,a2.h0->m3,m3->m7,m4->a10.h0<v>
a6.h3->m7,a6.h1->m23,m2->m7,a0.h2->a1.h7<q>,a23.h4->m23,m15->a16.h1<v>,a8.h6->m9,m9->a10.h0<v>
m8->m17,m5->m9,m4->m8,a0.h2->a1.h7<k>,a12.h0->m23,m6->m10,a12.h0->m13,a1.h3->m2
m8->m9,a11.h2->m16,m9->logits,a0.h2->a1.h7<v>,m9->m14,m14->m19,m2->m20,m14->m19
m12->m18,a4.h13->m6,m2->m19,a0.h2->a1.h8<q>,a8.h6->m9,m3->a5.h8<q>,m0->m15,m2->m20
a1.h5->m2,m6->a8.h1<v>,a4.h1->m5,a0.h2->a1.h8<k>,a23.h0->m23,a17.h5->m18,a1.h3->m2,m15->m16
m8->m20,m22->logits,m8->a10.h0<v>,a0.h2->a1.h8<v>,m5->m23,a12.h0->m23,a16.h11->m22,m8->m20
m9->m22,m6->a7.h1<v>,a2.h6->m5,a0.h2->a1.h9<q>,m8->m16,a19.h13->m23,a23.h4->logits,m11->m16
a0.h6->m0,a5.h8->m8,m8->m18,a0.h2->a1.h9<k>,m2->m16,m9->a10.h0<v>,m9->a10.h0<v>,a23.h4->m23
m0->m10,m7->a9.h0<v>,a2.h1->m3,a0.h2->a1.h9<v>,m10->a11.h0<k>,m13->m18,m3->m18,m5->m16
m11->m20,a7.h6->m7,m10->m19,a0.h2->a1.h10<q>,m0->m22,m14->m23,m12->m22,m9->m20
m0->a4.h0<v>,m11->m19,m10->a11.h6<q>,a0.h2->a1.h10<k>,m1->m19,m5->m19,m6->m10,m8->m19
a5.h5->m5,m4->a7.h0<v>,m1->a10.h1<v>,a0.h2->a1.h10<v>,m9->a10.h0<v>,m3->m18,m6->m13,a19.h13->logits
m17->a23.h0<v>,a5.h8->m11,m5->a6.h1<v>,a0.h2->a1.h11<q>,m3->a5.h8<q>,a19.h13->logits,m3->a5.h8<q>,a23.h0->logits
